Country Name,Country Code,Indicator Name,Indicator Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Brazil,BRA,GDP per capita (current US$),NY.GDP.PCAP.CD,2592.627166,2234.362688,2105.107748,2324.499775,3263.562622,4704.961546,5121.905407,5240.128796,5049.766119,3456.423595,3726.81142,3142.277935,2824.679625,3056.624967,3623.247996,4773.248944,5866.096224,7323.033629,8801.599484,8570.022562,11249.46454,13200.78508,12327.31744,12258.50317,12071.15821,8783.225984,8680.768792,9896.684783,9121.083403,8845.259118
Barbados,BRB,GDP per capita (current US$),NY.GDP.PCAP.CD,7772.808757,7789.391377,7520.79074,7905.676802,8220.27611,8451.958599,8994.324063,9491.475434,10685.26061,11173.94937,11560.2459,11510.04043,11658.62904,11998.17569,12828.43895,14173.75138,15595.63946,17219.04868,17550.66334,16310.46053,16489.79582,16907.20926,16691.33264,16893.60627,16924.19034,16990.21947,17343.72544,17843.19793,18224.89059,19002.96238
Brunei Darussalam,BRN,GDP per capita (current US$),NY.GDP.PCAP.CD,13440.91401,13716.99049,15080.41421,14420.5082,14000.84937,15827.70819,16706.95514,16593.49959,12653.82452,14065.34269,17971.50658,16437.63304,16817.12616,18521.1854,21839.62541,25991.16716,30768.39285,32337.31729,37426.66854,27496.96085,34609.94043,46139.58441,46842.96026,43948.85117,41037.07265,30681.67944,26762.94565,28186.80303,31241.45396,30748.73749
Bhutan,BTN,GDP per capita (current US$),NY.GDP.PCAP.CD,515.1084338,423.3147128,440.0007398,433.9124472,496.8453319,550.6065958,564.5374979,644.1460926,652.3509892,699.2570827,722.8525714,764.951103,841.3718347,951.8062703,1050.051242,1201.432967,1299.631488,1714.032453,1780.111536,1768.744739,2194.126452,2491.271677,2470.073677,2409.441856,2589.899754,2695.638773,2879.547121,3240.704766,3210.706269,3303.964211
Botswana,BWA,GDP per capita (current US$),NY.GDP.PCAP.CD,2825.673142,2855.88768,2918.651591,2844.966397,2832.860893,3064.593723,3063.9918,3100.134219,2893.315051,3242.13383,3351.696517,3115.679,3029.784532,4111.738085,4818.213103,5240.316159,5142.913834,5372.340732,5345.815863,4938.278893,6041.754284,7080.812813,6393.008265,6436.60945,6844.020288,5869.732943,6411.527159,6705.351862,6947.800812,6679.167674
Central African Republic,CAF,GDP per capita (current US$),NY.GDP.PCAP.CD,512.8508564,475.2761615,471.9406411,413.959446,267.0062747,340.3996977,299.6195073,271.1432876,272.1015286,273.4279279,243.8775801,242.5757245,253.4106803,283.6753608,309.1902615,317.8776556,340.4145334,388.4777863,446.2288114,452.9222586,459.7769465,515.2095319,525.8675432,352.226872,394.856957,351.8797536,372.1354655,414.7402866,435.9322636,426.4087626
Canada,CAN,GDP per capita (current US$),NY.GDP.PCAP.CD,21448.36196,21768.34329,20879.84833,20121.16125,19935.38146,20613.78788,21227.34753,21901.56285,21024.58507,22315.24667,24271.00206,23822.06012,24255.33858,28300.4631,32143.68141,36382.50792,40504.06073,44659.89514,46710.50558,40876.31015,47562.08343,52223.69611,52669.08996,52635.17496,50955.99832,43596.13554,42315.60371,45129.4293,46548.63841,46328.67184
Central Europe and the Baltics,CEB,GDP per capita (current US$),NY.GDP.PCAP.CD,2314.257103,2196.836201,2360.506043,2490.547738,2825.708688,3579.686629,3795.187451,3747.194492,4107.890008,3987.897643,3949.137595,4354.549093,4940.210294,5947.615717,7178.016445,8363.477976,9482.092474,12022.26981,14601.09361,12319.522,12624.84736,13970.06689,13075.72899,13662.24109,14132.76797,12520.33649,12781.93211,14224.85778,16086.31826,16358.47415
Switzerland,CHE,GDP per capita (current US$),NY.GDP.PCAP.CD,39574.53981,39544.49468,40713.68815,39237.11866,43091.7771,50113.83212,48092.6433,41584.44178,42680.58673,41695.69129,38865.02194,39638.79111,42458.73847,49335.74563,54659.45715,56242.89336,59011.03246,64989.15533,74175.19279,71568.31239,76531.37294,90476.75897,85836.20768,87304.33058,88724.99094,83806.4476,82153.07454,82254.37693,85217.36915,84121.93103
Channel Islands,CHI,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,41227.40326,43250.70571,44316.15359,42681.04174,45278.05847,49430.52909,57202.56103,58550.8346,63666.87724,75152.60978,,,,,,,,,,,,
